PineTree_qy27,656.738708,-77.804688,148.87999
PineTree_64PM,652.658447,-82.304688,147.704056
PineTree_rJYz,666.779663,-76.126564,151.681793
PineTree_pcFG,600.673096,117.220467,127.219376
PineTree_mc24,678.303711,-64.160622,152.798203
PineTree_Yc3k,-51.254684,-111.403435,170.511246
PineTree_J87X,682.230591,-61.203438,152.586792
PineTree_jK8N,591.084961,110.521873,129.181793
PineTree_ihQW,-63.715,-116.098747,173.992645
PineTree_K33L,135.896561,117.181404,115.642891
PineTree_NZgR,609.757813,125.469215,126.944374
PineTree_oVOZ,-85.452965,-126.706558,181.057968
PineTree_AUpf,596.598083,116.122498,127.662338
PineTree_Rxrm,609.753723,121.072029,126.973671
PineTree_Wm7C,139.742813,120.659843,115.062576
PineTree_fEKE,-8.769688,-175.191559,177.887894
PineTree_ORsn,372.918121,134.896713,124.80101
PineTree_52TN,595.947205,136.380783,126.36351
PineTree_3pnr,601.475281,110.120155,127.762733
PineTree_gSQp,359.908112,117.6464,118.428589
PineTree_DUDe,368.025604,-116.338432,110.785072
PineTree_8z51,364.607819,117.103905,119.600388
PineTree_lNdJ,-67.286407,-112.858437,174.273666
PineTree_oALn,606.644348,114.84156,127.151794
PineTree_DsXi,450.943115,-166.138123,117.221169
PineTree_BEbq,365.355621,122.39875,120.579681
PineTree_R596,604.412476,121.752029,127.114525
PineTree_yJVm,-78.60984,-123.795624,178.724762
PineTree_HSjZ,248.006561,267.836243,131.679062
PineTree_BGhi,250.159988,271.168732,131.870148
PineTree_TpZF,589.259033,136.529846,126.82164
PineTree_kXdx,586.587158,127.577652,127.077415
PineTree_gYM4,605.846252,110.39875,127.476402
PineTree_tWvL,602.504028,89.901405,130.498276
PineTree_oeJ1,-78.037811,-114.22187,177.36969
PineTree_I3pP,175.866241,325.795929,148.586014
PineTree_2AFP,630.67157,66.205315,128.961563
PineTree_Y0ip,641.799377,38.341873,123.280701
PineTree_CvgL,170.245316,332.386566,150.544449
PineTree_VNAM,-59.906406,-125.818748,173.365082
PineTree_1PaA,148.098434,299.872498,149.594681
PineTree_sNWl,613.354675,128.191559,126.310936
PineTree_blj0,610.884338,91.778282,129.333664
PineTree_bGCV,155.380936,297.607971,148.53421
PineTree_oFRm,603.830933,103.030464,129.006088
PineTree_92mB,654.075012,108.644058,129.531174
PineTree_ppX0,593.778137,132.693283,127.754845
PineTree_4N1N,606.40686,139.795929,126.052963
PineTree_gJqK,647.07251,105.843124,126.875153
PineTree_I14m,598.722168,100.902657,130.262024
PineTree_04du,-69.103279,-124.786247,175.642426
PineTree_riwZ,576.996521,127.431557,127.798279
PineTree_bEKl,153.987503,305.884216,149.776169
PineTree_OKZm,599.26532,140.993439,126.256874
PineTree_Jca7,579.508423,123.144531,128.524063
PineTree_sMsA,-151.308121,54.507813,182.393753
PineTree_mz3t,639.185608,109.361717,126.489449
PineTree_IhHH,-154.303116,61.815781,179.952026
PineTree_O46g,648.6828,110.390312,127.684761
PineTree_1n2w,602.931885,136.695786,126.049057
PineTree_f5kS,-122.456558,57.540623,182.039764
PineTree_6TsR,144.613434,301.887329,150.14296
PineTree_QH1b,547.288086,146.722504,128.710785
PineTree_nHvC,-129.075623,61.488438,181.608978
PineTree_eXSB,596.181213,150.015472,126.523125
PineTree_tMyS,160.346558,363.098572,163.46344
PineTree_oBVD,149.423431,398.677338,170.364212
PineTree_u3Te,629.810913,134.832657,126.27359
PineTree_R5tx,613.131836,103.665314,128.147568
PineTree_aHXj,653.59314,103.982338,127.866325
PineTree_Z8Rt,-152.189529,104.955467,170.830307
PineTree_CF0d,635.93811,106.182182,126.742889
PineTree_oVe7,158.75499,400.485626,170.875549
PineTree_d63G,664.590942,16.409843,123.62664
PineTree_2h8R,-170.451553,108.18531,180.049377
PineTree_qeN2,623.986877,86.409218,129.902573
PineTree_YSis,571.466248,141.151093,126.60437
PineTree_3bUx,623.64032,146.960617,126.053276
PineTree_MQEP,565.205627,135.566711,127.17765
PineTree_qWUw,161.805939,418.710297,175.874924
PineTree_3H3Z,-186.195313,104.652031,181.654678
PineTree_y8xv,159.976868,413.117188,173.650696
PineTree_4Izq,511.903107,148.212341,136.031631
PineTree_cuuA,-189.649521,109.477028,184.544998
PineTree_rIbu,646.579346,53.021404,124.215157
PineTree_jVEk,619.101257,138.009369,125.918358
PineTree_eKc8,569.465942,137.244522,126.522263
